"","AREA","INT_SQFT","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","BUILDTYPE","UTILITY_AVAIL","STREET","MZZONE","QS_OVERALL","COMMIS","SALES_PRICE","total_yrs","avg_sqft","oth_chgs","bin_insq","bin_dist","bin_ttl_yrs","ARBT","INBT","TRBT","BRBT","Chrompet.2","Karapakkam.2","Adyar.3","Chrompet.3","Karapakkam.3","KK Nagar.3","Adyar.4","Anna Nagar.4","Chrompet.4","Karapakkam.4","KK Nagar.4","T Nagar.4","Velachery.4","Anna Nagar.5","KK Nagar.5","T Nagar.5","Velachery.5","KK Nagar.6","2.2","3.2","1.3","2.3","3.3","1.4","2.4","3.4","1.5","2.5","3.5","2.6","3.6"
"4801","Velachery",1518,120,2,1,4,"AbNormal","No","Others","ELO","NoAccess","RM",3.61,132138,8809180,17885,379.5,2986308,"3","3","3","Velachery.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1987","Karapakkam",704,128,1,1,2,"AdjLand","Yes","House","AllPub","NoAccess","RM",3.23,146276,6965500,13870,352,2528477,"1","3","2","Karapakkam.House","House.1","House.2","House.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6433","Adyar",1104,21,1,1,3,"Family","No","House","NoSewr ","Gravel","RH",3.93,136198,9079875,1825,368,3241513,"2","1","1","Adyar.House","House.2","House.3","House.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6459","Chrompet",1276,98,2,1,4,"AbNormal","Yes","Others","NoSewr ","NoAccess","RH",4.22,28847,9615620,12410,319,2278901,"2","2","2","Chrompet.Others","Others.2","Others.4","Others.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"981","KK Nagar",1927,36,3,2,5,"AbNormal","Yes","Commercial","NoSeWa","Gravel","RM",3.62,229468,17651360,2920,385.4,6425095,"3","1","1","KK Nagar.Commercial","Commercial.3","Commercial.5","Commercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2368","Anna Nagar",1856,99,2,1,5,"Partial","No","Others","AllPub","Gravel","RL",4.075,212522,14168130,7300,371.2,4420454,"3","2","1","Anna Nagar.Others","Others.3","Others.5","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1084","Chrompet",1280,78,2,1,4,"Family","No","Others","AllPub","Paved","RM",2.97,171203,10700200,5840,320,2675048,"2","2","1","Chrompet.Others","Others.2","Others.4","Others.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5478","Anna Nagar",1785,162,1,1,4,"AbNormal","Yes","Others","NoSeWa","Gravel","RL",3.165,239309,14956820,2190,446.25,3739202,"3","4","1","Anna Nagar.Others","Others.3","Others.4","Others.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5266","Chrompet",765,172,1,1,2,"Normal Sale","Yes","Commercial","AllPub","Paved","RL",3.67,186346,10961500,12410,382.5,3343258,"1","4","2","Chrompet.Commercial","Commercial.1","Commercial.2","Commercial.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5086","T Nagar",1548,21,1,1,4,"Family","No","Others","ELO","NoAccess","RL",3.235,206825,10885530,15330,387,4027649,"3","1","3","T Nagar.Others","Others.3","Others.4","Others.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
