"PRT_ID","SALES_PRICE"
"P05996",7823146
"P09294",14792195
"P03807",8036487
"P00539",14105004
"P01448",6957254
"P06667",13873751
"P09803",14819385
"P05568",21832458
"P05102",14947678
"P04556",5600275
"P03782",9036947
"P02221",10791686
"P03299",11545204
"P08959",8942634
"P09377",8066618
"P09924",9911617
"P01394",8291609
"P07407",11794132
"P08729",12772900
"P09542",11598423
"P01853",10011528
"P08051",12928879
"P08271",5747516
"P02055",9303430
"P01462",6583274
"P03664",13693199
"P02370",6471288
"P07852",19711012
"P06278",15619752
"P08467",13570901
"P00992",11161733
"P05942",7155735
"P03989",6636131
"P07060",10675861
"P00285",13934055
"P04718",5534331
"P00956",11717748
"P07903",11360436
"P09166",7864325
"P04499",7162609
"P04015",3530646
"P09376",9508995
"P00012",7113794
"P08995",13918293
"P02323",9554734
"P01359",9084648
"P07090",14361776
"P08475",14084331
"P02125",14433465
"P07915",18942876
"P06139",8654319
"P03073",5649248
"P08441",10281896
"P01565",9471573
"P00791",9380321
"P06751",12001005
"P04554",13586216
"P03839",6898268
"P01409",11099767
"P07431",12612382
"P03489",11814919
"P06387",8576263
"P06779",8534593
"P01889",8363164
"P06149",13327146
"P08873",13503526
"P03425",15107101
"P09806",9018616
"P04345",11155147
"P04042",14060132
"P09781",7843204
"P00254",15127379
"P09091",12955740
"P04061",9497422
"P06644",6287192
"P08517",12772954
"P07492",11071563
"P04452",16302693
"P08144",9487160
"P02854",5663421
"P04835",8755063
"P00455",13062139
"P07396",7628325
"P07777",7070697
"P05423",9586424
"P05820",18468560
"P01309",8338302
"P04343",5648309
"P05167",6859963
"P03621",7170917
"P01131",19342795
"P04092",5524650
"P07035",8364675
"P04257",11142665
"P00928",14803366
"P09597",9384293
"P09744",15380269
"P08951",7212769
"P03143",7813301
"P00062",6380152
"P06406",10324468
"P07835",8346325
"P00485",8541915
"P09288",12784447
"P04002",8961146
"P04853",10038311
"P03361",10056684
"P05281",8293903
"P06568",11920405
"P07595",7877714
"P02829",18493722
"P03226",7381038
"P03068",15289147
"P04223",7662464
"P01682",6708634
"P01342",6957806
"P01954",11011281
"P03346",11818347
"P06090",7114704
"P08664",9091260
"P02701",12149432
"P03668",13332717
"P05791",7271512
"P04571",7366469
"P04306",11047426
"P06965",11408977
"P00968",11812365
"P07351",10510921
"P07627",14133989
"P02263",5346941
"P00900",8035748
"P05532",9838083
"P02420",11022457
"P02948",10602975
