"PRT_ID","SALES_PRICE"
"P05996",8024940
"P09294",13805868
"P03807",8954590
"P00539",13740732
"P01448",6417838
"P06667",14635345
"P09803",14372216
"P05568",21071919
"P05102",13968330
"P04556",5739423
"P03782",11036158
"P02221",11813311
"P03299",12668603
"P08959",7508018
"P09377",7894295
"P09924",9703636
"P01394",8449376
"P07407",10821153
"P08729",12270605
"P09542",11073025
"P01853",8538724
"P08051",12969108
"P08271",6251263
"P02055",9730664
"P01462",5902705
"P03664",13817349
"P02370",7024072
"P07852",19114794
"P06278",16365216
"P08467",13370566
"P00992",12708164
"P05942",7006955
"P03989",6447682
"P07060",10805482
"P00285",13164835
"P04718",6609495
"P00956",11428554
"P07903",10652130
"P09166",8460212
"P04499",6840521
"P04015",5329090
"P09376",10194365
"P00012",7437332
"P08995",13119525
"P02323",8635453
"P01359",9401810
"P07090",15358900
"P08475",13294282
"P02125",14392925
"P07915",18825865
"P06139",7631883
"P03073",6156167
"P08441",8295115
"P01565",9578650
"P00791",8031502
"P06751",12388529
"P04554",13946815
"P03839",7509698
"P01409",11379242
"P07431",11979747
"P03489",11008376
"P06387",8855425
"P06779",8384358
"P01889",8353820
"P06149",12983819
"P08873",12725985
"P03425",14728268
"P09806",9509700
"P04345",12009758
"P04042",13667529
"P09781",7511324
"P00254",14230328
"P09091",13447212
"P04061",9811883
"P06644",6369962
"P08517",13630882
"P07492",9887823
"P04452",15063534
"P08144",9257674
"P02854",6587974
"P04835",9552799
"P00455",13447507
"P07396",6522570
"P07777",7059565
"P05423",9907163
"P05820",18225118
"P01309",8410740
"P04343",6476942
"P05167",7098288
"P03621",7911341
"P01131",18513266
"P04092",5716849
"P07035",7923510
"P04257",10075630
"P00928",14237016
"P09597",9147689
"P09744",14722332
"P08951",7205073
"P03143",7830512
"P00062",6392690
"P06406",9851860
"P07835",7220469
"P00485",8695566
"P09288",12206156
"P04002",9288309
"P04853",9142878
"P03361",10314842
"P05281",9738573
"P06568",11962993
"P07595",6519223
"P02829",17347354
"P03226",6914667
"P03068",15105950
"P04223",7645154
"P01682",6384133
"P01342",7196100
"P01954",10821155
"P03346",13003076
"P06090",6944613
"P08664",9466232
"P02701",12231653
"P03668",13245300
"P05791",7266659
"P04571",7194977
"P04306",10609412
"P06965",10090150
"P00968",10968078
"P07351",10268776
"P07627",14568205
"P02263",6126457
"P00900",9295204
"P05532",9900569
"P02420",11238024
"P02948",11161580
"P02449",9542151
"P04555",9255639
"P08461",15591120
"P03817",10332177
"P01194",14517292
"P00096",14293829
"P06955",10283962
"P07375",10317805
"P01198",9649362
"P06393",7257392
"P00973",19609160
"P08413",15234530
"P08452",10858894
"P05808",17969540
"P01732",9731911
"P03265",9845263
"P09269",14955697
"P02005",11741016
"P09884",8750840
"P03077",9498393
"P02144",12493719
"P01972",6471887
"P03272",17161083
"P04748",12866433
"P09255",14675427
"P02072",13613924
"P05111",17689527
"P05943",11810657
"P04135",16710239
"P03351",9562141
"P02627",10196486
"P02406",8733454
"P05640",9770135
"P09231",12086924
"P06390",8032804
"P08275",10257153
"P00571",7015901
"P03094",15236413
"P02145",14611422
"P01403",11298954
"P00398",9511802
"P05079",11186966
"P08844",12678091
"P05122",14305630
"P02734",12661707
"P07188",14439025
"P05561",13159312
"P00652",12793074
"P01072",9449850
"P00385",8492561
"P05519",10068365
"P01410",7307902
"P05804",6910977
"P07515",12010127
"P00691",7083925
"P03592",8449370
"P09493",13063045
"P04172",7365068
"P01605",9853619
"P03956",6609794
"P05076",10146178
"P05695",13755453
"P00993",11593682
"P02468",11850161
"P06320",5058263
"P02001",13417411
"P08770",7904783
"P00229",19186191
"P06646",12864677
"P04466",8529176
"P05793",8071375
"P01750",10381848
"P09131",7404260
"P02168",9202306
"P02511",6703608
"P07343",10110351
"P01376",19042885
"P07422",14029473
"P01769",8034767
"P08586",9347592
"P06488",7292930
"P01230",7111448
"P02908",7502691
"P08831",18612321
"P03288",13842825
"P00680",6853650
"P02031",6718400
"P04875",6962940
"P07956",12232497
"P08447",8104421
"P05865",9923646
"P09672",15336891
"P09920",8924475
"P04910",7734123
"P00162",13336996
"P01825",10793639
"P05292",7866676
"P02712",11549651
"P07747",9440875
"P07472",12353941
"P00068",12423351
"P00750",16072526
"P01938",13022707
"P08240",7963376
"P05994",8837192
"P00744",11210040
"P00792",13302351
"P04083",6471041
"P01744",12232722
"P03503",12869559
"P04256",6814108
"P05332",9352208
"P04078",10270476
"P06574",14747107
"P04752",12011425
"P03316",13211714
"P07291",10585673
"P07280",12740735
"P04397",8049048
"P02025",11995966
"P09003",14875123
"P03088",9378718
"P05216",15519749
"P00823",11507001
"P07932",18877793
"P02680",13255551
"P03407",12887337
"P06860",13580802
"P06832",8337940
"P00361",18911933
"P06394",9005611
"P03881",8271184
"P02725",7914625
"P00544",14596768
"P08809",9873709
"P02307",10147378
"P08485",10385788
"P09159",12808964
"P01398",10745818
"P02495",6497253
"P08769",7989458
"P00458",11281352
"P05850",19530104
"P06648",7851016
"P05003",7736797
"P03602",16423633
"P03201",9019043
"P00489",12259754
"P06958",7925953
"P04750",10186422
"P06660",10398685
"P04403",11364873
"P04175",9823839
"P07433",11266092
"P03525",9203800
"P09373",6673711
"P05845",8531560
"P05717",9536733
"P00953",10918280
"P01301",11801675
"P07032",6591006
"P09312",7618286
"P02357",10216617
"P00029",12480129
"P06760",11652547
"P03206",11420387
"P08261",10447928
"P07838",15191824
"P03558",12359816
"P03700",7461209
"P06412",13270619
"P04043",11318418
"P03850",9431596
"P05426",7326881
"P00178",8400738
"P03363",10825447
"P01018",13594915
"P00572",9125044
"P02373",12336472
"P04813",8020672
"P05372",5377972
"P04285",10357269
"P00459",14453811
"P02208",6634584
"P08567",8498708
"P07415",20996979
"P02413",9554115
"P02586",8475533
"P05842",10051537
"P05225",13631829
"P03024",9053893
"P04596",6073716
"P01389",13734501
"P03708",7242649
"P08783",9139163
"P06624",13989685
"P02243",17366370
"P00020",6665636
"P05876",7690725
"P07232",7404641
"P02855",9801701
"P09303",9666669
"P02015",8808200
"P05454",13833836
"P07348",12899055
"P03637",12665687
"P00263",7985283
"P02270",12957455
"P06691",7052882
"P04068",7361248
"P04812",7601641
"P05806",17131130
"P08297",8894049
"P09086",19972580
"P00775",11155894
"P06970",16052433
"P07630",8776804
"P06558",5633767
"P01847",11231889
"P04412",5912759
"P05028",8451031
"P04089",5548982
"P03672",9790473
"P05147",7705486
"P08288",10408567
"P01330",11809820
"P04020",10494939
"P07516",9213173
"P03129",12566974
"P07204",13093032
"P02045",8926694
"P08996",15024272
"P00574",9264840
"P02149",11298518
"P09851",15140483
"P00509",20699070
"P00136",17687245
"P02618",13460270
"P07265",8946657
"P00855",15461046
"P03046",7720577
"P10026",9111640
"P00177",8532626
"P09301",8074919
"P03284",7732809
"P06088",7111776
"P01106",7671629
"P05623",10846384
"P01357",18826588
"P00215",17390593
"P05023",18261314
"P02983",6613284
"P05782",8415077
"P05733",14988036
"P02670",8052089
"P08342",9003570
"P09732",13345810
"P05262",11941781
"P05661",9213983
"P07639",11705200
"P08096",12798472
"P09511",13811348
"P00822",11273395
"P06290",9397593
"P06505",12604855
"P07653",10058119
"P06447",18509785
"P04980",8693352
"P05638",12828557
"P07544",9951054
"P01335",9939329
"P05311",8450257
"P03627",9866920
"P03784",7131875
"P01464",13525872
"P01171",10270656
"P07123",9809859
"P09662",15868824
"P03540",8797058
"P05302",7249360
"P08705",8594087
"P06665",8006982
"P04037",10222071
"P00325",8767434
"P08837",11744128
"P05445",13292391
"P00292",8080293
"P05044",12230291
"P03002",6609614
"P05551",10170196
"P01037",19632268
"P02316",8267199
"P07532",17122260
"P02051",11404849
"P00817",10986508
"P05975",8557856
"P09942",7533364
"P00488",11306030
"P03977",8667658
"P07179",12276035
"P04074",8346574
"P04318",13535224
"P07771",10192781
"P06431",12128032
"P00647",13017711
"P03725",12291063
"P00359",13873973
"P03884",6999627
"P04772",7564318
"P04202",7935665
"P07384",10149651
"P09375",8449599
"P02603",8400267
"P05744",13121395
"P00454",8855975
"P03580",10465809
"P01351",10723460
"P05632",8557624
"P02658",12410679
"P03487",12053046
"P05745",7700884
"P08616",20370815
"P00575",9221746
"P00782",12083307
"P09266",6016649
"P05541",8962447
"P07213",11333021
"P03123",7513773
"P01741",8020517
"P04336",10037742
"P02060",17805648
"P04800",10948168
"P01707",6901959
"P06617",7836960
"P08260",10142363
"P07352",12738082
"P01510",5558620
"P06564",14085500
"P08889",9192259
"P07268",11133225
"P08641",12522293
"P03743",9076029
"P08861",10299389
"P07687",9070420
"P06080",6349846
"P01691",8455705
"P03308",6858495
"P00113",11989618
"P04949",9785912
"P04243",9798174
"P04199",12189891
"P02919",14085720
"P06267",7341296
"P07383",14748238
"P05429",14391443
"P07746",9453955
"P08241",13608006
"P00774",9422302
"P02143",14530303
"P00054",14325069
"P05676",10353886
"P05875",5899841
"P05395",11357550
"P07026",8674725
"P09598",8767378
"P09339",18976654
"P03381",8495385
"P08655",13451196
"P02719",6662193
"P06426",10382325
"P06890",12604758
"P02086",6809078
