"PRT_ID","SALES_PRICE"
"P05996",7966015
"P09294",14762254
"P03807",8492384
"P00539",13918302
"P01448",7219999
"P06667",14202102
"P09803",14816625
"P05568",21762787
"P05102",14786329
"P04556",5800537
"P03782",9397432
"P02221",11097687
"P03299",11691098
"P08959",8978944
"P09377",8290799
"P09924",10038229
"P01394",8555076
"P07407",11685641
"P08729",12628661
"P09542",11469087
"P01853",9932707
"P08051",13182110
"P08271",6049133
"P02055",9502753
"P01462",7010314
"P03664",13649462
"P02370",6525654
"P07852",19623775
"P06278",16335172
"P08467",13496472
"P00992",11472391
"P05942",7553107
"P03989",7058775
"P07060",10874498
"P00285",13681580
"P04718",5867685
"P00956",11793519
"P07903",11284894
"P09166",8290260
"P04499",7586285
"P04015",3863379
"P09376",9412555
"P00012",7339087
"P08995",13679299
"P02323",9931314
"P01359",9219202
"P07090",14386600
"P08475",14070836
"P02125",14318464
"P07915",18777341
"P06139",8798630
"P03073",5790090
"P08441",10244969
"P01565",9531248
"P00791",9426387
"P06751",11623739
"P04554",13324416
"P03839",7335915
"P01409",11117701
"P07431",12817516
"P03489",12508951
"P06387",8755501
"P06779",8696940
"P01889",8618120
"P06149",13371865
"P08873",13350574
"P03425",14785636
"P09806",9256419
"P04345",11320604
"P04042",14002411
"P09781",8016329
"P00254",14832012
"P09091",12905087
"P04061",9587605
"P06644",6367579
"P08517",12743545
"P07492",10882188
"P04452",16134889
"P08144",9514792
"P02854",5995584
"P04835",9125982
"P00455",12885258
"P07396",7944148
"P07777",7354606
"P05423",9715356
"P05820",18661098
"P01309",8475188
"P04343",5858722
"P05167",7181682
"P03621",7607674
"P01131",19405985
"P04092",5832754
"P07035",8574240
"P04257",11199035
"P00928",14744734
"P09597",9545568
"P09744",15318121
"P08951",7411878
"P03143",8177813
"P00062",6676398
"P06406",10604960
"P07835",8508665
"P00485",8746384
"P09288",12531626
"P04002",9285392
"P04853",10040571
"P03361",10407353
"P05281",8453784
"P06568",12049109
"P07595",8163645
"P02829",18476093
"P03226",7838148
"P03068",15041841
"P04223",7839005
"P01682",6607799
"P01342",7214898
"P01954",11099222
"P03346",11862219
"P06090",7087202
"P08664",9393541
"P02701",12350984
"P03668",13130177
"P05791",7684435
"P04571",7571923
"P04306",11122948
"P06965",11255080
"P00968",11738554
"P07351",10400005
"P07627",13970630
"P02263",5750411
"P00900",8403374
"P05532",9856277
"P02420",11252082
"P02948",10790763
"P02449",9295103
"P04555",9668315
"P08461",16162717
"P03817",11157054
"P01194",14665915
"P00096",14413976
"P06955",10414135
"P07375",10165271
"P01198",9969087
"P06393",7058842
"P00973",20133254
"P08413",15482290
"P08452",11155024
"P05808",18246135
"P01732",9741648
"P03265",8803801
"P09269",14915066
"P02005",12492438
"P09884",8982668
"P03077",10315925
"P02144",11855864
"P01972",6300331
"P03272",19767949
"P04748",12418867
"P09255",14497104
"P02072",11963323
"P05111",18668647
"P05943",12253150
"P04135",15901122
"P03351",9329988
"P02627",10429223
"P02406",9847357
"P05640",9802494
"P09231",12055647
"P06390",8601836
"P08275",10545431
"P00571",7617880
"P03094",15475607
"P02145",15525131
"P01403",11507171
"P00398",9638940
"P05079",11919141
"P08844",11735157
"P05122",13495193
"P02734",13476996
"P07188",14812550
"P05561",13254681
"P00652",12299012
"P01072",9822931
"P00385",8958116
"P05519",10140204
"P01410",8288710
"P05804",6917636
"P07515",11080774
"P00691",8239231
"P03592",7460640
"P09493",13413898
"P04172",7791849
"P01605",9486633
"P03956",6726246
"P05076",8739746
"P05695",12868728
"P00993",12017815
"P02468",10133973
"P06320",4312753
"P02001",13120758
"P08770",9305369
"P00229",17187550
"P06646",11356812
"P04466",8391246
"P05793",7676602
"P01750",11183221
"P09131",8290902
"P02168",8674237
"P02511",6534550
"P07343",9522790
"P01376",21380120
"P07422",13459002
"P01769",9053291
"P08586",9103233
"P06488",7122677
"P01230",8093570
"P02908",7228158
"P08831",19337626
"P03288",14228101
"P00680",6220964
"P02031",7847909
"P04875",6515529
"P07956",11884779
"P08447",9088442
"P05865",9413137
"P09672",14654856
"P09920",8841629
"P04910",8077133
"P00162",13845966
"P01825",10017532
"P05292",8061661
"P02712",12518325
"P07747",8811064
"P07472",12522164
"P00068",12225426
"P00750",16470219
"P01938",13055268
"P08240",8219146
"P05994",8785412
"P00744",11087574
"P00792",13041293
"P04083",6498830
"P01744",12842962
"P03503",12471723
"P04256",7357189
"P05332",9121659
"P04078",10346934
"P06574",17954915
"P04752",11288730
"P03316",13618681
