"","AREA","INT_SQFT","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","BUILDTYPE","UTILITY_AVAIL","STREET","MZZONE","QS_OVERALL","COMMIS","SALES_PRICE","total_yrs","avg_sqft","oth_chgs","bin_insq","bin_dist","bin_ttl_yrs","ARBT","INBT","TRBT","BRBT","Chrompet.2","Karapakkam.2","Adyar.3","Chrompet.3","Karapakkam.3","KK Nagar.3","Adyar.4","Anna Nagar.4","Chrompet.4","Karapakkam.4","KK Nagar.4","T Nagar.4","Velachery.4","Anna Nagar.5","KK Nagar.5","T Nagar.5","Velachery.5","KK Nagar.6","2.2","3.2","1.3","2.3","3.3","1.4","2.4","3.4","1.5","2.5","3.5","2.6","3.6"
"1","Karapakkam",1004,131,1,1,3,"AbNormal","Yes","Commercial","AllPub","Paved","A",4.33,144400,7600000,16060,334.666666666667,3564400,"2","3","3","Karapakkam.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6","Chrompet",1220,36,2,1,4,"Partial","No","Commercial","NoSeWa","NoAccess","RH",3.32,198316,12394750,1825,305,3879559,"2","1","1","Chrompet.Commercial","Commercial.2","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9","Chrompet",771,175,1,1,2,"AdjLand","No","Others","NoSewr ","Paved","RM",3.55,33236,8308970,12410,385.5,2351438,"1","4","2","Chrompet.Others","Others.1","Others.2","Others.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Velachery",1635,74,2,1,4,"AbNormal","No","Others","ELO","NoAccess","I",3.16,121255,8083650,5475,408.75,3031369,"3","2","1","Velachery.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"15","Velachery",1865,157,3,2,5,"Family","No","Commercial","NoSewr ","Paved","RM",3.66,294494,15499680,19710,373,5874377,"3","4","3","Velachery.Commercial","Commercial.3","Commercial.5","Commercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"23","KK Nagar",2010,114,3,2,5,"Partial","No","Others","NoSewr ","Gravel","RH",3.73,262210,10925400,3650,402,3212068,"4","3","1","KK Nagar.Others","Others.4","Others.5","Others.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"24","Chrompet",1074,100,1,1,3,"AbNormal","No","Others","NoSewr ","Gravel","RL",3.73,86646,9627380,5840,358,2686035,"2","2","1","Chrompet.Others","Others.2","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"28","Karapakkam",1301,59,1,1,3,"Normal Sale","Yes","Others","NoSewr ","Gravel","C",3.17,71457,7939625,2555,433.666666666667,3287004,"2","2","1","Karapakkam.Others","Others.2","Others.3","Others.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"32","Adyar",868,15,1,1,3,"Normal Sale","No","Others","NoSeWa","Gravel","RL",2.11,72336,9042050,3650,289.333333333333,3001962,"1","1","1","Adyar.Others","Others.1","Others.3","Others.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33","T Nagar",1721,117,1,1,4,"AdjLand","Yes","Others","ELO","Paved","RM",2.605,223116,14874380,7300,430.25,3971463,"3","3","1","T Nagar.Others","Others.3","Others.4","Others.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
